malaria
346221
330543
300929
365134
388919
467770
477250
436742
442742
494449
436620
367129
452444
423183
452657
467122
538074
567478
621340
615182
598762
620392
548192
491008
557539
517018
548673
559211
562561
674256
735177
658686
582794
647664
687211
622626
635903
596018
657381
652615
699394
847071
910002
860759
771377
760451
753441
631577
710316
656717
678324
663604
777320
917515
998389
961010
840129
891669
911505
781716
827765
715399
628276
684085
808084
895904
1000249
970383
899766
990277
901701
773006
579854
556081
558612
533073
652888
741170
623576
613575
560242
633342
594705
509360
487363
438328
515678
526572
499395
608854
656604
600248
597894
694381
617296
565433
488093
461757
417780
509976
581319
652041
639418
617904
600093
710034
644287
489352
490379
420771
418047
391507
489686
542340
574071
586428
569806
615758
543308
487253
